N,P,K,pH,temperature,humidity,rainfall,region,label
90,28,49,6.1,30.8,88.3,33.5,Belagavi,Muskmelon
47,62,55,7.1,31.9,98.7,192.1,Ballari,Papaya
80,63,42,7.5,31.7,71.4,203.8,Mandya,Rice
13,34,20,6.3,27.4,64.2,79.1,Shivamogga,Mungbean
26,52,15,7.5,17.0,22.0,67.5,Chitradurga,Lentil
55,41,41,7.5,31.4,82.9,233.9,Hassan,Rice
27,38,24,6.7,22.3,55.9,18.7,Belagavi,Mothbeans
109,41,27,6.3,26.7,55.6,102.9,Mandya,Cotton
14,120,200,5.9,28.7,75.4,75.3,Mandya,Grapes
109,11,46,6.3,28.1,77.0,64.9,Ballari,Muskmelon
14,32,2,6.7,34.0,85.9,87.7,Mysuru,Orange
63,48,40,7.6,19.9,78.2,150.3,Davanagere,Rice
59,37,17,6.3,20.7,58.9,71.7,Mandya,Maize
109,50,10,6.2,20.2,66.2,99.1,Mysuru,Cotton
15,31,38,5.6,28.7,55.5,79.1,Vijayapura,Mango
28,67,15,6.1,29.5,24.7,41.9,Davanagere,Lentil
22,57,29,8.0,30.6,56.1,37.6,Tumakuru,Mothbeans
13,11,26,5.8,29.9,56.8,108.4,Hassan,Mango
108,8,45,6.1,24.8,78.8,32.5,Davanagere,Watermelon
26,142,209,5.5,19.0,85.7,83.3,Belagavi,Grapes
105,59,16,6.6,27.1,65.2,87.4,Davanagere,Cotton
125,55,14,6.4,22.8,52.0,86.8,Mandya,Cotton
22,141,197,6.2,34.5,76.0,94.9,Ballari,Grapes
109,16,25,7.0,27.7,56.3,176.4,Mysuru,Coffee
30,34,32,6.0,31.4,52.9,118.3,Belagavi,Mango
24,73,10,6.3,16.9,32.3,36.0,Belagavi,Lentil
33,53,26,6.9,25.2,16.5,148.7,Ballari,Pigeonpeas
31,64,30,7.3,17.7,17.1,46.3,Chitradurga,Chickpea
98,34,44,6.3,24.5,93.3,22.3,Belagavi,Watermelon
31,28,8,5.9,20.4,85.1,132.1,Tumakuru,Orange
110,69,53,6.4,31.0,70.4,121.8,Belagavi,Banana
17,37,25,7.0,26.6,60.5,49.3,Shivamogga,Mungbean
34,126,194,5.5,23.2,89.5,86.9,Mandya,Apple
26,14,8,6.1,18.5,89.0,103.9,Tumakuru,Orange
103,18,44,7.0,25.1,81.0,76.3,Belagavi,Watermelon
90,60,42,6.8,31.9,69.4,144.0,Belagavi,Rice
11,44,11,7.3,31.1,73.0,21.2,Davanagere,Mungbean
34,73,34,6.3,20.1,14.9,77.6,Belagavi,Chickpea
42,54,26,6.9,24.0,74.3,71.0,Chitradurga,Blackgram
108,21,57,6.5,24.2,75.2,30.9,Ballari,Watermelon
19,66,33,6.7,24.8,23.2,30.8,Belagavi,Chickpea
116,51,13,6.9,26.9,71.7,107.5,Belagavi,Cotton
66,42,34,7.6,22.5,84.7,135.3,Shivamogga,Rice
14,46,21,6.5,28.2,71.0,67.6,Hassan,Mungbean
11,25,35,6.1,26.2,81.9,86.3,Mysuru,Pomegranate
27,49,24,5.3,26.7,48.1,33.6,Belagavi,Mothbeans
134,47,14,6.8,24.3,61.2,111.1,Belagavi,Cotton
29,24,38,5.9,30.0,48.5,118.1,Shivamogga,Mango
113,5,44,6.8,24.4,94.4,39.4,Chitradurga,Watermelon
42,63,28,5.6,36.3,10.9,89.0,Tumakuru,Pigeonpeas
43,70,22,6.5,30.1,72.3,42.7,Tumakuru,Blackgram
18,8,3,5.8,11.1,85.6,111.5,Hassan,Orange
37,82,40,7.3,25.1,20.2,59.5,Hassan,Chickpea
70,46,41,6.8,33.5,65.4,185.9,Davanagere,Rice
78,47,33,6.5,19.8,90.1,292.5,Shivamogga,Rice
18,140,192,6.5,21.5,87.4,84.8,Tumakuru,Apple
15,139,200,5.8,27.6,77.7,80.5,Davanagere,Grapes
27,11,30,6.1,36.3,53.1,72.7,Tumakuru,Mango
21,41,15,7.2,25.8,63.2,77.7,Shivamogga,Mungbean
70,53,28,5.8,27.0,49.1,114.2,Vijayapura,Maize
85,8,46,6.3,29.1,76.7,20.1,Ballari,Watermelon
44,62,32,5.3,35.2,11.0,116.2,Mysuru,Pigeonpeas
61,46,42,6.2,25.8,89.8,149.3,Hassan,Rice
15,34,12,6.4,20.1,92.5,124.0,Mandya,Orange
89,50,44,7.4,27.9,74.8,213.4,Chitradurga,Jute
101,22,20,5.9,27.1,61.9,108.3,Davanagere,Coffee
113,48,14,6.5,26.3,55.7,50.1,Chitradurga,Cotton
10,25,39,6.0,27.3,90.0,221.8,Shivamogga,Coconut
19,63,18,6.0,15.6,18.9,80.6,Tumakuru,Kidneybeans
14,136,196,6.6,8.9,85.9,61.9,Davanagere,Grapes
103,7,56,6.3,26.9,86.7,23.5,Shivamogga,Watermelon
108,39,27,6.3,23.5,47.6,49.5,Vijayapura,Cotton
21,57,34,6.9,25.1,23.8,98.1,Vijayapura,Pigeonpeas
12,33,10,6.0,14.0,86.5,120.9,Chitradurga,Orange
110,60,12,6.5,25.8,74.2,91.4,Vijayapura,Cotton
82,48,32,6.2,20.0,94.7,264.2,Shivamogga,Rice
41,52,52,6.7,37.0,95.6,219.2,Mandya,Papaya
98,19,45,5.9,25.3,89.6,23.3,Mandya,Watermelon
10,35,49,5.4,24.3,81.8,100.1,Ballari,Pomegranate
19,13,34,6.8,22.5,90.2,89.4,Chitradurga,Pomegranate
14,41,28,5.9,31.1,61.9,74.3,Tumakuru,Mothbeans
11,64,17,6.2,13.4,26.0,62.9,Mysuru,Kidneybeans
53,26,51,6.7,36.3,96.7,249.9,Tumakuru,Papaya
105,10,30,6.1,21.0,48.4,106.7,Davanagere,Coffee
64,42,41,7.0,32.3,91.4,192.8,Belagavi,Rice
18,131,198,6.4,26.0,86.0,100.9,Shivamogga,Apple
12,125,208,6.6,25.9,95.9,99.4,Shivamogga,Apple
90,94,48,6.6,24.0,75.7,88.2,Mysuru,Banana
80,61,44,5.8,27.3,78.4,162.0,Davanagere,Jute
15,34,2,6.6,12.9,98.7,83.0,Hassan,Orange
28,63,37,7.0,18.1,17.5,25.1,Belagavi,Chickpea
10,29,45,6.6,24.0,80.4,132.0,Vijayapura,Pomegranate
65,64,49,6.0,34.4,72.5,148.6,Mysuru,Rice
26,42,13,8.9,31.1,29.2,65.8,Mandya,Mothbeans
32,61,17,6.8,33.3,57.8,67.4,Mysuru,Blackgram
11,140,205,5.8,22.7,89.2,96.9,Hassan,Apple
11,67,10,6.1,17.5,22.4,136.8,Hassan,Kidneybeans
37,60,12,6.8,26.2,70.8,68.4,Chitradurga,Blackgram
68,36,19,6.6,18.4,67.5,69.5,Belagavi,Maize
19,138,204,5.8,23.4,90.7,98.9,Belagavi,Apple
113,30,44,6.2,22.1,81.1,47.0,Vijayapura,Watermelon
14,10,5,7.3,25.9,87.1,90.4,Mandya,Orange
26,47,10,5.6,30.7,30.5,68.0,Chitradurga,Mothbeans
12,42,10,6.2,26.8,64.1,29.8,Chitradurga,Mungbean
21,68,11,6.4,22.0,15.8,18.5,Vijayapura,Lentil
56,37,56,6.4,41.8,85.1,245.5,Mysuru,Papaya
23,47,25,6.5,27.8,69.7,60.0,Ballari,Mungbean
99,78,58,6.1,23.7,89.3,85.2,Ballari,Banana
14,32,14,6.7,30.0,63.9,64.3,Davanagere,Mungbean
23,17,1,6.6,34.7,94.3,135.2,Vijayapura,Orange
91,39,47,6.9,26.8,70.7,197.9,Ballari,Rice
120,23,40,6.6,29.4,92.0,74.1,Hassan,Muskmelon
52,40,57,6.9,41.3,86.3,215.2,Tumakuru,Papaya
43,64,44,6.5,31.3,89.9,213.8,Shivamogga,Papaya
55,64,18,5.7,25.1,47.9,63.3,Shivamogga,Maize
74,36,14,6.5,25.4,74.4,52.4,Davanagere,Maize
40,53,19,6.1,36.1,21.6,155.7,Shivamogga,Pigeonpeas
10,57,19,7.1,21.0,24.5,45.9,Ballari,Lentil
48,35,50,6.7,30.6,85.2,140.0,Ballari,Papaya
11,29,34,5.1,26.3,91.7,258.4,Davanagere,Coconut
26,16,4,7.4,26.7,87.5,129.7,Mandya,Orange
25,54,36,6.7,15.2,25.5,74.3,Mysuru,Chickpea
29,39,11,6.3,28.8,63.2,53.8,Hassan,Mungbean
94,20,45,6.6,26.5,85.3,65.0,Chitradurga,Muskmelon
94,33,39,7.2,33.8,75.1,160.4,Vijayapura,Rice
30,31,22,5.4,25.6,82.7,160.1,Vijayapura,Coconut
39,59,25,7.0,28.3,72.3,94.8,Shivamogga,Blackgram
16,11,7,6.4,20.0,88.7,107.0,Hassan,Orange
34,59,22,6.6,29.3,66.5,49.9,Belagavi,Blackgram
123,20,55,5.8,28.3,94.0,60.0,Vijayapura,Muskmelon
14,59,15,6.4,21.8,30.4,60.1,Mandya,Lentil
93,21,55,6.7,25.5,89.7,46.2,Tumakuru,Watermelon
15,58,23,5.9,21.5,28.1,57.3,Shivamogga,Kidneybeans
23,11,14,7.1,14.5,92.4,111.4,Belagavi,Orange
92,44,19,5.8,22.6,74.7,82.6,Vijayapura,Maize
106,23,28,6.3,23.6,59.6,126.1,Shivamogga,Coffee
57,58,59,6.4,24.7,86.2,181.3,Chitradurga,Papaya
18,37,46,5.9,17.1,85.7,99.2,Tumakuru,Pomegranate
36,57,44,7.3,23.8,32.3,71.5,Hassan,Chickpea
60,35,59,6.8,37.1,95.4,253.7,Mandya,Papaya
106,15,44,6.8,24.4,79.3,57.7,Vijayapura,Watermelon
36,51,15,6.7,24.7,73.2,47.3,Shivamogga,Blackgram
26,130,190,5.5,14.5,70.5,90.5,Ballari,Grapes
41,56,33,5.0,32.4,16.8,93.7,Ballari,Pigeonpeas
16,125,193,6.5,23.9,70.5,99.4,Belagavi,Grapes
44,63,28,4.9,36.1,12.9,136.3,Vijayapura,Pigeonpeas
25,64,24,6.5,16.9,16.1,41.3,Hassan,Lentil
26,16,16,7.5,8.2,87.5,113.3,Shivamogga,Orange
86,17,45,6.7,27.4,83.5,63.9,Vijayapura,Muskmelon
10,31,20,6.1,30.2,99.8,139.8,Davanagere,Coconut
21,141,196,6.3,29.2,72.6,84.7,Hassan,Grapes
95,17,30,6.6,23.1,67.8,129.1,Tumakuru,Coffee
18,34,19,6.4,28.7,72.3,27.5,Davanagere,Mungbean
32,129,204,5.7,23.6,99.6,138.3,Ballari,Apple
33,59,34,6.4,17.4,16.9,21.5,Hassan,Chickpea
18,51,29,4.8,31.8,20.2,124.6,Chitradurga,Pigeonpeas
75,60,45,7.5,21.5,65.4,184.1,Tumakuru,Jute
26,10,33,6.0,30.8,81.6,266.0,Hassan,Coconut
21,124,199,6.6,22.6,94.2,110.6,Shivamogga,Apple
32,143,200,6.4,22.0,71.6,73.9,Chitradurga,Grapes
100,28,39,6.7,26.4,56.6,199.7,Hassan,Coffee
69,45,44,6.7,22.3,89.9,185.9,Hassan,Rice
17,79,32,6.3,19.7,29.5,32.9,Chitradurga,Chickpea
81,64,28,7.1,19.4,64.5,58.8,Hassan,Maize
68,54,34,7.3,24.7,94.6,132.8,Chitradurga,Jute
14,49,29,8.6,24.8,46.4,17.9,Mandya,Mothbeans
26,20,21,4.9,28.4,77.1,252.0,Mandya,Coconut
38,71,38,7.2,17.1,24.0,43.8,Davanagere,Chickpea
20,33,34,5.7,26.7,84.5,205.9,Tumakuru,Coconut
23,33,37,6.7,24.0,79.0,87.4,Belagavi,Pomegranate
96,20,22,6.7,21.8,48.4,190.7,Tumakuru,Coffee
24,50,29,5.4,32.6,26.5,140.9,Chitradurga,Pigeonpeas
115,58,12,8.1,26.3,68.5,81.7,Davanagere,Cotton
31,15,27,5.1,23.8,90.0,242.2,Shivamogga,Coconut
38,63,13,7.1,23.2,61.4,88.1,Mandya,Blackgram
76,40,14,5.4,16.4,73.1,45.6,Hassan,Maize
41,55,28,6.7,26.5,66.2,60.7,Ballari,Blackgram
23,49,23,6.2,27.0,57.5,49.1,Mandya,Mungbean
12,66,14,6.2,16.7,19.4,129.1,Ballari,Kidneybeans
111,37,26,7.5,28.8,59.8,99.0,Mandya,Cotton
35,124,203,6.1,20.0,87.1,126.2,Chitradurga,Apple
32,67,19,5.3,34.1,20.8,129.9,Chitradurga,Pigeonpeas
10,44,10,7.0,27.0,62.5,37.8,Vijayapura,Mungbean
42,70,15,7.6,27.9,55.7,76.7,Tumakuru,Blackgram
39,135,199,6.1,24.0,88.0,113.5,Chitradurga,Apple
112,40,22,7.5,23.5,57.7,73.6,Hassan,Cotton
29,42,14,6.3,25.1,57.5,21.6,Mandya,Mungbean
39,56,48,7.5,25.0,26.9,43.8,Ballari,Chickpea
104,31,43,6.6,27.6,92.0,79.7,Tumakuru,Watermelon
18,37,34,5.8,19.3,76.9,124.3,Davanagere,Pomegranate
27,63,17,5.6,20.9,27.7,160.0,Vijayapura,Kidneybeans
91,33,30,6.7,26.7,56.0,156.2,Mandya,Coffee
21,19,3,6.3,19.2,85.6,81.9,Vijayapura,Orange
69,52,26,6.3,20.0,66.6,41.3,Chitradurga,Maize
25,48,17,6.9,26.3,65.3,78.0,Ballari,Mungbean
12,70,24,6.4,20.6,26.2,39.3,Belagavi,Lentil
74,36,18,5.4,17.2,65.7,86.1,Chitradurga,Maize
88,15,24,6.6,29.7,56.4,130.5,Vijayapura,Coffee
111,33,38,6.5,22.1,60.6,196.3,Vijayapura,Coffee
123,53,27,7.9,21.6,49.3,80.8,Tumakuru,Cotton
25,65,37,7.1,23.6,25.4,64.4,Mandya,Chickpea
15,50,15,7.5,20.1,22.2,58.9,Ballari,Lentil
55,36,56,6.7,24.4,88.1,132.0,Davanagere,Papaya
33,128,191,6.0,22.2,91.8,133.3,Tumakuru,Apple
14,25,33,4.9,28.3,79.3,182.1,Davanagere,Coconut
32,61,36,7.0,20.8,31.7,74.9,Vijayapura,Chickpea
32,21,20,6.1,34.1,44.2,91.7,Hassan,Mango
33,57,28,5.2,26.5,17.8,70.7,Davanagere,Pigeonpeas
78,35,17,5.9,19.6,66.4,76.1,Belagavi,Maize
66,37,43,7.0,26.9,85.8,191.4,Shivamogga,Rice
101,33,31,5.8,21.1,59.0,191.2,Mysuru,Coffee
26,48,24,3.9,22.2,45.6,66.2,Chitradurga,Mothbeans
90,13,52,6.0,22.4,91.3,22.7,Vijayapura,Watermelon
73,35,39,6.9,28.0,66.1,133.3,Tumakuru,Rice
93,91,55,6.5,26.3,71.8,116.3,Belagavi,Banana
41,52,54,6.8,38.7,97.9,203.1,Hassan,Papaya
116,36,19,7.3,29.2,56.0,76.1,Mysuru,Cotton
123,28,59,6.1,25.0,89.5,61.5,Davanagere,Muskmelon
31,140,195,5.5,26.0,87.9,104.9,Vijayapura,Apple
19,16,14,6.8,16.9,92.4,102.5,Ballari,Orange
16,50,30,6.4,33.9,13.1,90.0,Shivamogga,Pigeonpeas
19,34,19,6.3,26.0,56.6,42.1,Ballari,Mungbean
90,57,47,6.1,21.8,68.6,147.1,Shivamogga,Jute
82,39,47,7.3,24.2,92.5,152.4,Hassan,Jute
31,27,26,5.1,25.7,42.6,117.3,Belagavi,Mango
15,72,18,6.8,20.1,25.3,68.5,Chitradurga,Lentil
103,16,44,6.2,24.9,86.9,20.4,Hassan,Watermelon
98,17,40,6.0,28.7,81.3,78.4,Chitradurga,Watermelon
32,14,22,5.8,31.7,41.3,95.2,Ballari,Mango
89,33,34,6.9,27.1,69.8,195.3,Davanagere,Rice
12,26,8,6.3,10.7,87.9,108.6,Hassan,Orange
84,44,30,6.8,22.6,66.6,151.2,Shivamogga,Jute
12,31,48,6.8,23.5,81.7,103.5,Ballari,Pomegranate
114,77,40,6.3,23.7,73.3,108.6,Chitradurga,Banana
122,36,19,7.8,23.4,60.5,100.2,Belagavi,Cotton
87,28,39,6.0,24.2,59.6,121.8,Mandya,Coffee
120,54,10,5.9,27.9,56.0,119.1,Belagavi,Cotton
23,68,16,6.3,31.2,25.7,97.2,Belagavi,Pigeonpeas
27,62,19,5.8,23.4,25.6,56.3,Davanagere,Kidneybeans
81,49,32,7.3,24.5,82.6,146.2,Ballari,Jute
28,22,46,5.8,26.7,82.1,103.5,Shivamogga,Pomegranate
12,7,16,6.3,35.4,90.3,92.6,Vijayapura,Orange
119,52,18,6.1,24.7,64.0,97.0,Hassan,Cotton
112,42,22,7.9,23.0,51.0,55.4,Mysuru,Cotton
22,19,11,6.2,27.2,95.8,90.5,Shivamogga,Orange
38,69,21,6.8,24.9,24.5,94.1,Ballari,Pigeonpeas
67,34,43,6.0,18.2,90.9,309.1,Ballari,Rice
129,51,25,6.2,28.3,60.3,70.2,Mandya,Cotton
25,33,29,5.7,27.4,88.8,259.1,Tumakuru,Coconut
117,49,27,7.1,23.2,62.7,78.8,Vijayapura,Cotton
11,7,34,5.1,26.5,77.8,251.1,Tumakuru,Coconut
61,39,51,6.3,37.4,88.5,266.7,Davanagere,Papaya
99,23,38,6.3,21.4,45.2,187.2,Shivamogga,Coffee
16,12,38,6.0,29.5,88.1,146.5,Tumakuru,Coconut
35,71,35,6.7,17.0,30.9,25.7,Mandya,Chickpea
23,5,33,4.9,23.1,99.1,252.6,Ballari,Coconut
19,54,28,7.5,32.0,22.1,60.2,Mysuru,Lentil
12,126,203,5.7,36.1,79.5,44.7,Tumakuru,Grapes
41,44,41,6.9,30.4,86.3,228.2,Hassan,Papaya
19,66,27,6.0,31.3,23.5,41.1,Davanagere,Lentil
18,62,24,5.8,25.6,33.1,158.0,Davanagere,Pigeonpeas
97,27,28,6.6,26.1,46.0,147.8,Davanagere,Coffee
12,56,10,6.8,27.4,65.3,62.5,Shivamogga,Mungbean
26,144,193,5.5,19.1,92.5,85.8,Mysuru,Apple
21,42,19,4.1,22.3,48.5,45.6,Vijayapura,Mothbeans
46,27,58,6.6,36.7,97.7,251.3,Hassan,Papaya
95,12,36,7.0,29.3,67.8,156.4,Shivamogga,Coffee
95,26,30,6.2,24.5,54.1,125.5,Mysuru,Coffee
38,53,43,7.5,25.6,18.2,30.7,Mysuru,Chickpea
38,70,17,6.7,25.8,25.5,120.6,Belagavi,Pigeonpeas
34,68,18,7.4,31.2,72.8,47.5,Chitradurga,Blackgram
101,78,59,5.9,29.8,72.5,121.8,Vijayapura,Banana
23,136,190,5.3,24.9,87.2,84.2,Mysuru,Apple
98,30,44,6.4,28.3,84.2,22.7,Davanagere,Watermelon
13,55,19,3.9,29.9,57.4,76.7,Vijayapura,Mothbeans
26,69,35,7.0,24.4,30.5,46.7,Hassan,Chickpea
22,125,201,5.7,23.9,93.4,96.4,Chitradurga,Apple
18,16,46,5.3,25.4,87.9,121.6,Mysuru,Pomegranate
15,16,46,7.0,20.1,85.8,118.8,Vijayapura,Pomegranate
18,20,27,5.0,26.3,59.7,96.5,Vijayapura,Mango
57,43,48,6.9,39.5,90.3,212.3,Chitradurga,Papaya
32,11,24,6.6,33.1,58.9,82.7,Mandya,Mango
22,56,23,6.9,27.9,20.0,151.9,Tumakuru,Pigeonpeas
25,27,30,7.1,21.3,80.2,119.8,Shivamogga,Pomegranate
86,44,35,7.3,26.4,78.5,170.7,Davanagere,Jute
15,121,200,5.9,25.0,93.5,96.5,Davanagere,Apple
29,27,21,5.7,32.4,43.7,92.6,Vijayapura,Mango
20,36,11,8.8,25.3,43.5,87.4,Chitradurga,Mothbeans
11,130,199,5.3,33.9,72.2,62.5,Ballari,Grapes
98,32,45,6.2,27.4,80.8,68.4,Mandya,Watermelon
20,72,40,6.8,23.1,26.6,54.9,Belagavi,Chickpea
63,44,46,7.1,41.2,94.6,211.3,Shivamogga,Papaya
18,121,206,5.6,27.5,70.3,51.8,Tumakuru,Grapes
106,26,37,6.9,23.7,73.2,139.7,Chitradurga,Coffee
31,62,23,6.7,24.6,56.2,63.6,Davanagere,Blackgram
123,39,20,6.8,26.4,48.3,46.1,Hassan,Cotton
25,30,14,7.6,37.0,88.1,81.6,Vijayapura,Orange
20,33,36,5.4,22.5,95.8,120.0,Vijayapura,Pomegranate
70,45,37,6.9,21.3,74.1,146.7,Shivamogga,Rice
88,53,32,6.1,24.7,73.8,176.1,Ballari,Jute
23,69,33,7.7,21.5,16.5,63.5,Belagavi,Chickpea
14,73,19,7.2,18.9,28.5,40.0,Mysuru,Lentil
102,9,55,6.3,31.3,78.6,25.3,Mandya,Muskmelon
11,31,49,7.1,20.4,84.7,135.0,Vijayapura,Pomegranate
30,55,29,7.0,33.3,31.1,74.6,Belagavi,Pigeonpeas
88,51,45,6.3,21.5,94.5,206.2,Hassan,Jute
130,59,14,8.0,20.1,63.4,80.6,Ballari,Cotton
74,33,43,6.3,27.0,81.8,171.0,Belagavi,Rice
96,32,35,6.5,22.2,71.7,105.5,Mysuru,Coffee
88,14,27,6.8,21.3,50.2,218.6,Mandya,Coffee
17,32,20,6.9,25.5,64.4,51.3,Vijayapura,Mungbean
28,43,27,5.6,27.9,59.3,54.6,Davanagere,Mothbeans
88,37,33,7.1,24.9,72.3,166.3,Mysuru,Jute
95,13,24,7.0,26.8,60.1,156.6,Tumakuru,Coffee
38,56,10,7.6,32.2,61.7,80.2,Chitradurga,Blackgram
26,65,19,6.1,18.4,12.9,137.9,Davanagere,Kidneybeans
61,40,49,6.3,35.5,89.0,169.8,Belagavi,Papaya
15,27,19,6.3,19.3,93.0,97.4,Belagavi,Orange
29,60,26,6.2,23.5,10.5,124.7,Hassan,Kidneybeans
74,37,31,7.0,22.6,72.2,196.3,Vijayapura,Jute
40,77,43,6.7,16.9,24.6,23.4,Davanagere,Chickpea
17,45,10,6.2,25.1,59.5,29.8,Belagavi,Mungbean
37,52,24,6.6,30.5,73.8,90.9,Shivamogga,Blackgram
40,121,203,6.3,19.3,91.7,86.1,Belagavi,Apple
87,33,38,5.8,25.3,56.6,129.6,Mandya,Coffee
86,85,56,6.4,26.4,80.9,132.4,Shivamogga,Banana
98,26,52,6.4,26.3,77.2,73.5,Mysuru,Muskmelon
62,35,47,7.1,27.5,97.3,185.1,Mandya,Papaya
96,73,46,6.7,24.3,85.2,101.0,Mysuru,Banana
19,27,5,7.4,9.2,89.2,132.5,Shivamogga,Orange
61,47,31,7.3,22.9,69.8,205.2,Hassan,Rice
16,16,48,6.4,18.4,82.6,127.9,Hassan,Pomegranate
17,50,26,5.5,19.1,22.9,45.7,Shivamogga,Kidneybeans
27,48,27,6.4,25.3,68.7,47.9,Davanagere,Mungbean
43,126,193,6.6,25.2,90.6,83.0,Mandya,Apple
31,127,205,5.8,24.4,77.6,53.0,Davanagere,Grapes
28,124,207,5.6,35.5,71.6,92.5,Ballari,Grapes
11,32,33,5.7,25.7,96.7,134.1,Mandya,Pomegranate
16,38,18,7.2,30.8,30.3,19.9,Shivamogga,Mothbeans
14,24,37,6.5,25.1,53.4,78.3,Tumakuru,Mango
16,32,10,7.3,26.2,60.1,39.4,Tumakuru,Mungbean
42,50,29,6.2,24.9,19.5,122.6,Mysuru,Pigeonpeas
18,39,15,7.5,23.8,61.7,69.2,Belagavi,Mothbeans
113,22,55,6.3,25.7,93.3,45.1,Tumakuru,Watermelon
34,18,38,5.7,36.4,52.8,87.5,Chitradurga,Mango
22,26,6,7.0,17.9,92.2,94.9,Hassan,Orange
34,19,12,7.7,30.1,91.9,104.8,Mandya,Orange
113,78,50,6.0,28.1,70.5,121.3,Tumakuru,Banana
15,140,190,6.5,19.6,87.0,103.1,Mysuru,Apple
109,10,41,6.8,29.9,88.1,60.3,Belagavi,Watermelon
18,56,23,5.9,26.7,11.8,79.9,Vijayapura,Kidneybeans
94,22,27,6.3,22.4,55.5,203.6,Shivamogga,Coffee
24,62,17,6.0,22.6,29.1,96.2,Chitradurga,Kidneybeans
58,39,42,6.9,37.2,94.4,260.7,Mysuru,Papaya
43,132,205,5.6,21.4,96.4,97.5,Shivamogga,Apple
92,77,57,6.6,25.4,74.2,90.1,Hassan,Banana
32,128,200,5.8,24.6,97.4,102.1,Mysuru,Apple
115,54,14,7.6,22.7,50.3,41.4,Ballari,Cotton
92,8,46,6.9,26.8,79.9,39.9,Ballari,Muskmelon
29,14,16,6.7,15.0,98.7,100.6,Hassan,Orange
62,39,44,6.5,27.7,90.0,147.6,Chitradurga,Papaya
90,50,24,6.5,22.8,67.9,100.0,Belagavi,Maize
62,38,33,6.3,23.9,79.4,204.5,Tumakuru,Rice
85,62,45,6.8,26.1,93.4,150.7,Vijayapura,Rice
92,39,48,6.5,27.9,88.8,209.1,Mysuru,Jute
24,139,190,6.5,23.2,76.7,61.4,Belagavi,Grapes
22,29,30,5.8,28.8,95.8,232.9,Chitradurga,Coconut
59,46,55,6.5,39.4,91.2,258.0,Shivamogga,Papaya
20,23,28,5.6,26.8,55.6,84.7,Davanagere,Mango
113,31,57,6.7,29.8,77.2,61.8,Vijayapura,Watermelon
12,63,25,7.6,30.3,33.1,32.6,Vijayapura,Lentil
13,58,17,5.5,16.3,23.7,50.3,Mysuru,Kidneybeans
13,32,15,4.7,33.4,38.3,19.2,Ballari,Mothbeans
26,24,49,5.5,23.2,83.9,90.9,Hassan,Pomegranate
28,19,5,6.2,28.9,96.6,92.8,Chitradurga,Orange
68,57,24,6.9,26.3,58.8,109.4,Chitradurga,Maize
106,99,48,5.5,31.8,77.2,114.2,Hassan,Banana
106,76,51,5.8,23.1,82.5,92.1,Ballari,Banana
25,144,195,5.9,30.6,71.1,74.4,Tumakuru,Grapes
87,32,44,6.7,30.7,77.5,56.5,Mysuru,Muskmelon
67,54,32,5.8,22.7,88.0,201.5,Tumakuru,Jute
100,27,47,6.0,25.3,88.7,37.1,Tumakuru,Muskmelon
80,50,30,6.7,26.3,82.8,142.6,Mandya,Jute
29,48,14,8.9,27.7,48.6,39.8,Hassan,Mothbeans
25,66,11,6.0,25.6,28.2,43.3,Chitradurga,Lentil
36,64,23,6.8,28.8,63.0,86.4,Chitradurga,Blackgram
111,21,48,6.1,30.9,87.6,71.7,Vijayapura,Muskmelon
11,133,205,5.6,25.6,78.1,80.8,Mysuru,Grapes
24,65,18,5.5,17.5,27.4,80.2,Chitradurga,Kidneybeans
19,11,9,6.2,10.2,90.9,129.0,Belagavi,Orange
25,27,2,6.8,20.2,90.5,139.7,Mysuru,Orange
95,7,49,6.8,29.2,90.8,63.2,Tumakuru,Watermelon
15,123,195,6.4,23.8,81.8,51.7,Hassan,Grapes
89,76,54,6.7,26.2,89.4,90.7,Tumakuru,Banana
23,36,17,6.9,28.9,62.1,72.5,Ballari,Mungbean
29,57,11,5.9,31.0,28.7,38.9,Tumakuru,Mothbeans
31,60,24,7.4,36.1,71.3,77.3,Ballari,Blackgram
76,60,32,6.7,21.5,75.6,130.4,Davanagere,Jute
124,28,59,7.0,31.0,75.4,67.7,Vijayapura,Muskmelon
91,98,57,6.5,31.7,85.6,133.7,Mysuru,Banana
25,27,10,7.0,13.6,88.8,88.7,Shivamogga,Orange
22,29,30,6.7,18.6,80.9,137.8,Belagavi,Pomegranate
14,72,15,5.8,18.0,21.0,131.6,Vijayapura,Kidneybeans
18,57,13,5.6,22.5,20.2,96.6,Mysuru,Kidneybeans
31,127,197,6.0,20.6,97.2,127.6,Mysuru,Apple
55,50,54,7.1,32.5,96.2,146.4,Chitradurga,Papaya
25,19,34,5.7,32.2,54.9,78.9,Shivamogga,Mango
27,16,14,6.2,30.4,92.0,122.6,Belagavi,Orange
70,35,23,6.4,21.6,49.4,85.1,Mysuru,Maize
11,140,201,6.2,20.4,99.1,98.7,Mysuru,Apple
63,31,58,7.2,37.1,91.8,165.7,Davanagere,Papaya
47,36,51,6.6,37.9,96.3,194.8,Chitradurga,Papaya
12,56,16,6.0,25.2,21.3,63.3,Vijayapura,Lentil
16,144,202,6.3,16.1,87.1,42.0,Davanagere,Grapes
93,29,55,5.9,30.4,82.6,64.6,Tumakuru,Muskmelon
13,34,28,5.9,29.6,54.5,95.3,Hassan,Mango
